"dataset_SSAD_biogas_production_pkey","total_solids_pct","prairie_biomass_beef_manure_ratio","day","biogas_ml_trial_1","biogas_ml_trial_2","biogas_ml_trial_3","biogas_ml_average","methane_pct_trial_1","methane_pct_trial_2","methane_pct_trial_3","methane_pct_average","daily_methane_mean_ml","cumulative_methane_mean_ml","daily_methane_pct","cumulative_biogas_mean_ml"
1,"15","Pure Grass",1,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA
2,"15","Pure Grass",2,94,32.3333333333333,NA,63.1666666666667,13.1,2.8,NA,7.95,0,0,0,0
3,"15","Pure Grass",3,25,32.33,NA,28.665,63.6,2.8,NA,33.2,0.7596225,0.7596225,7.95,28.665
4,"15","Pure Grass",4,25,32.33,NA,28.665,63.6,2.8,NA,33.2,3.17226,3.9318825,33.2,57.33
5,"15","Pure Grass",5,25,51.25,NA,38.125,63.6,47.4,NA,55.5,4.21916666666667,8.15104916666667,NA,95.455
6,"15","Pure Grass",6,11.75,51.25,NA,31.5,64.5,47.4,NA,55.95,5.8275,13.9785491666667,55.5,126.955
7,"15","Pure Grass",7,11.75,51.25,NA,31.5,64.5,47.4,NA,55.95,5.87475,19.8532991666667,55.95,158.455
8,"15","Pure Grass",8,11.75,51.25,NA,31.5,64.5,47.4,NA,55.95,5.87475,25.7280491666667,NA,189.955
9,"15","Pure Grass",9,11.75,11.75,NA,11.75,64.5,55.9,NA,60.2,2.191375,27.9194241666667,NA,201.705
10,"15","Pure Grass",10,16.4,11.75,NA,14.075,65.7,55.9,NA,60.8,2.82438333333333,30.7438075,60.2,215.78
11,"15","Pure Grass",11,16.4,11.75,NA,14.075,65.7,55.9,NA,60.8,2.85253333333333,33.5963408333333,60.8,229.855
12,"15","Pure Grass",12,16.4,11.75,NA,14.075,65.7,55.9,NA,60.8,2.85253333333333,36.4488741666667,NA,243.93
13,"15","Pure Grass",13,16.4,11,NA,13.7,65.7,53,NA,59.35,2.77653333333333,39.2254075,NA,257.63
14,"15","Pure Grass",14,16.4,11,NA,13.7,65.7,53,NA,59.35,2.71031666666667,41.9357241666667,59.35,271.33
15,"15","Pure Grass",15,3.5,11,NA,7.25,4.2,53,NA,28.6,1.43429166666667,43.3700158333333,NA,278.58
16,"15","Pure Grass",16,3.5,11,NA,7.25,4.2,53,NA,28.6,0.691166666666667,44.0611825,28.6,285.83
17,"15","Pure Grass",17,3.5,20.5,NA,12,4.2,48.8,NA,26.5,1.144,45.2051825,NA,297.83
18,"15","Pure Grass",18,3.5,20.5,NA,12,4.2,48.8,NA,26.5,1.06,46.2651825,26.5,309.83
19,"15","Pure Grass",19,3.5,20.5,NA,12,4.2,48.8,NA,26.5,1.06,47.3251825,NA,321.83
20,"15","Pure Grass",20,3.5,20.5,NA,12,4.2,48.8,NA,26.5,1.06,48.3851825,NA,333.83
21,"15","Pure Grass",21,3.5,7,NA,5.25,4.2,57.9,NA,31.05,0.46375,48.8489325,NA,339.08
22,"15","Pure Grass",22,3.5,7,NA,5.25,4.2,57.9,NA,31.05,0.543375,49.3923075,31.05,344.33
23,"15","Pure Grass",23,8.33333333333333,7,NA,7.66666666666667,4.2,57.9,NA,31.05,0.7935,50.1858075,NA,351.996666666667
24,"15","Pure Grass",24,8.33,7,NA,7.665,4.2,57.9,NA,31.05,0.7933275,50.979135,NA,359.661666666667
25,"15","Pure Grass",25,8.33,5,NA,6.665,4.2,58.6,NA,31.4,0.6898275,51.6689625,NA,366.326666666667
26,"15","Pure Grass",26,19.5,5,NA,12.25,32,58.6,NA,45.3,1.28216666666667,52.9511291666667,31.4,378.576666666667
27,"15","Pure Grass",27,19.5,5,NA,12.25,32,58.6,NA,45.3,1.84975,54.8008791666667,NA,390.826666666667
28,"15","Pure Grass",28,27,5,NA,16,31.1,58.6,NA,44.85,2.416,57.2168791666667,45.3,406.826666666667
29,"15","Pure Grass",29,27,21,NA,24,31.1,50.1,NA,40.6,3.588,60.8048791666667,44.85,430.826666666667
30,"15","Pure Grass",30,9.16666666666667,21,NA,15.0833333333333,65.8,50.1,NA,57.95,2.04127777777778,62.8461569444444,40.6,445.91
31,"15","Pure Grass",31,9.17,21,NA,15.085,65.8,50.1,NA,57.95,2.91391916666667,65.7600761111111,57.95,460.995
32,"15","Pure Grass",32,9.17,21,NA,15.085,65.8,50.1,NA,57.95,2.91391916666667,68.6739952777778,NA,476.08
33,"15","Pure Grass",33,9.17,11.3333333333333,NA,10.2516666666667,65.8,53,NA,59.4,1.98028027777778,70.6542755555556,70.6542755555556,486.331666666667
34,"15","Pure Grass",34,9.17,11.3,NA,10.235,65.8,53,NA,59.4,2.02653,72.6808055555556,59.4,496.566666666667
35,"15","Pure Grass",35,55,11.3,NA,33.15,65.8,53,NA,59.4,6.5637,79.2445055555555,59.4,529.716666666667
36,"15","10:1",1,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA
37,"15","10:1",2,99,53,NA,76,31.9,4.3,NA,18.1,0,0,0,76
38,"15","10:1",3,20.3333333333333,53,NA,36.6666666666667,43.8,4.3,NA,24.05,1.10611111111111,1.10611111111111,18.1,112.666666666667
39,"15","10:1",4,20.333,53,NA,36.6665,43.8,4.3,NA,24.05,1.46971554166667,2.57582665277778,24.05,149.333166666667
40,"15","10:1",5,20.33,31.25,NA,25.79,43.8,69.9,NA,56.85,1.03374916666667,3.60957581944444,24.05,175.123166666667
41,"15","10:1",6,20.33,31.25,NA,25.79,43.8,69.9,NA,56.85,2.4436025,6.05317831944444,56.85,200.913166666667
42,"15","10:1",7,20.33,31.25,NA,25.79,43.8,69.9,NA,56.85,2.4436025,8.49678081944444,NA,226.703166666667
43,"15","10:1",8,20.33,31.25,NA,25.79,43.8,69.9,NA,56.85,2.4436025,10.9403833194444,NA,252.493166666667
44,"15","10:1",9,20.33,25.25,NA,22.79,43.8,68.7,NA,56.25,2.1593525,13.0997358194444,NA,275.283166666667
45,"15","10:1",10,74.4,25.25,NA,49.825,73.9,68.7,NA,71.3,4.67109375,17.7708295694444,56.25,325.108166666667
46,"15","10:1",11,74.4,25.25,NA,49.825,73.9,68.7,NA,71.3,5.92087083333333,23.6917004027778,71.3,374.933166666667
47,"15","10:1",12,74.4,25.25,NA,49.825,73.9,68.7,NA,71.3,5.92087083333333,29.6125712361111,NA,424.758166666667
48,"15","10:1",13,74.4,28.75,NA,51.575,73.9,17.3,NA,45.6,6.12882916666667,35.7414004027778,NA,476.333166666667
49,"15","10:1",14,74.4,28.75,NA,51.575,73.9,17.3,NA,45.6,3.9197,39.6611004027778,45.6,527.908166666667
50,"15","10:1",15,13,28.75,NA,20.875,58.3,17.3,NA,37.8,1.5865,41.2476004027778,NA,548.783166666667
51,"15","10:1",16,13,28.75,NA,20.875,58.3,17.3,NA,37.8,1.315125,42.5627254027778,37.8,569.658166666667
52,"15","10:1",17,13,11.25,NA,12.125,58.3,46.2,NA,52.25,0.763875,43.3266004027778,NA,581.783166666667
53,"15","10:1",18,13,11.25,NA,12.125,58.3,46.2,NA,52.25,1.05588541666667,44.3824858194445,52.25,593.908166666667
54,"15","10:1",19,13,11.25,NA,12.125,58.3,46.2,NA,52.25,1.05588541666667,45.4383712361111,NA,606.033166666667
55,"15","10:1",20,13,11.25,NA,12.125,58.3,46.2,NA,52.25,1.05588541666667,46.4942566527778,NA,618.158166666667
56,"15","10:1",21,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.15385416666667,47.6481108194445,NA,631.408166666667
57,"15","10:1",22,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.13839583333333,48.7865066527778,51.55,644.658166666667
58,"15","10:1",23,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.13839583333333,49.9249024861111,NA,657.908166666667
59,"15","10:1",24,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.13839583333333,51.0632983194445,NA,671.158166666667
60,"15","10:1",25,13,26.25,NA,19.625,58.3,69.5,NA,63.9,1.68611458333333,52.7494129027778,NA,690.783166666667
61,"15","10:1",26,25,26.25,NA,25.625,47.7,69.5,NA,58.6,2.7290625,55.4784754027778,63.9,716.408166666667
62,"15","10:1",27,25,26.25,NA,25.625,47.7,69.5,NA,58.6,2.50270833333333,57.9811837361111,58.6,742.033166666667
63,"15","10:1",28,6,26.25,NA,16.125,8.6,69.5,NA,39.05,1.574875,59.5560587361111,NA,758.158166666667
64,"15","10:1",29,6,21.25,NA,13.625,8.6,61.8,NA,35.2,0.886760416666667,60.4428191527778,39.05,771.783166666667
65,"15","10:1",30,123.666666666667,21.25,NA,72.4583333333333,75.5,61.8,NA,68.65,4.25088888888889,64.6937080416667,35.2,844.2415
66,"15","10:1",31,123.7,21.25,NA,72.475,75.5,61.8,NA,68.65,8.29234791666667,72.9860559583334,68.65,916.7165
67,"15","10:1",32,123.7,21.25,NA,72.475,75.5,61.8,NA,68.65,8.29234791666667,81.278403875,NA,989.1915
68,"15","10:1",33,123.7,58.3333333333333,NA,91.0166666666667,75.5,61.5,NA,68.5,10.4138236111111,91.6922274861111,NA,1080.20816666667
69,"15","10:1",34,123.7,58.33,NA,91.015,75.5,61.5,NA,68.5,10.3908791666667,102.083106652778,68.5,1171.22316666667
70,"15","10:1",35,123.7,58.33,NA,91.015,75.5,61.5,NA,68.5,10.3908791666667,112.473985819444,68.5,1262.23816666667
71,"15","5:1",1,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA
72,"15","5:1",2,4,62,NA,33,52.9,3.7,NA,28.3,0,0,0,33
73,"15","5:1",3,3.78947368421053,11,NA,7.39473684210526,52.9,3.7,NA,28.3,2.09271052631579,2.09271052631579,28.3,40.3947368421053
74,"15","5:1",4,3.78947368421053,11,NA,7.39473684210526,52.9,5,NA,28.95,2.09271052631579,4.18542105263158,NA,47.7894736842105
75,"15","5:1",5,3.78947368421053,14,NA,8.89473684210526,52.9,5,NA,28.95,2.57502631578947,6.76044736842105,28.95,56.6842105263158
76,"15","5:1",6,3.78947368421053,14,NA,8.89473684210526,52.9,67.9,NA,60.4,2.57502631578947,9.33547368421053,NA,65.578947368421
77,"15","5:1",7,3.78947368421053,2.85714285714286,NA,3.32330827067669,52.9,67.9,NA,60.4,2.00727819548872,11.3427518796992,60.4,68.9022556390977
78,"15","5:1",8,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,13.3478729323308,NA,72.221992481203
79,"15","5:1",9,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,15.3529939849624,NA,75.5417293233082
80,"15","5:1",10,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,17.358115037594,NA,78.8614661654135
81,"15","5:1",11,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,19.3632360902256,NA,82.1812030075188
82,"15","5:1",12,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,21.3683571428571,NA,85.500939849624
83,"15","5:1",13,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,23.3734781954887,NA,88.8206766917293
84,"15","5:1",14,3.78947368421053,2.85,NA,3.31973684210526,52.9,61.3,NA,57.1,2.00512105263158,25.3785992481203,NA,92.1404135338345
85,"15","5:1",15,3.78947368421053,14,NA,8.89473684210526,52.9,61.3,NA,57.1,5.07889473684211,30.4574939849624,57.1,101.03515037594
86,"15","5:1",16,3.78947368421053,14,NA,8.89473684210526,52.9,42.1,NA,47.5,5.07889473684211,35.5363887218045,NA,109.929887218045
87,"15","5:1",17,3.78947368421053,6,NA,4.89473684210526,52.9,42.1,NA,47.5,2.325,37.8613887218045,47.5,114.82462406015
88,"15","5:1",18,3.78947368421053,6,NA,4.89473684210526,52.9,42.1,NA,47.5,2.325,40.1863887218045,NA,119.719360902256
89,"15","5:1",19,3.78947368421053,6,NA,4.89473684210526,52.9,42.1,NA,47.5,2.325,42.5113887218045,NA,124.614097744361
90,"15","5:1",20,3.78947368421053,6,NA,4.89473684210526,52.9,55.3,NA,54.1,2.325,44.8363887218045,NA,129.508834586466
91,"15","5:1",21,3.78947368421053,5,NA,4.39473684210526,52.9,55.3,NA,54.1,2.37755263157895,47.2139413533835,54.1,133.903571428571
92,"15","5:1",22,3.78947368421053,5,NA,4.39473684210526,54.5,55.3,NA,54.9,2.37755263157895,49.5914939849624,NA,138.298308270677
93,"15","5:1",23,11.6666666666667,5,NA,8.33333333333333,54.5,55.3,NA,54.9,4.575,54.1664939849624,54.9,146.63164160401
94,"15","5:1",24,11.67,5,NA,8.335,54.5,55.3,NA,54.9,4.575915,58.7424089849624,NA,154.96664160401
95,"15","5:1",25,11.67,5,NA,8.335,54.5,55.3,NA,54.9,4.575915,63.3183239849624,NA,163.30164160401
96,"15","5:1",26,17,8,NA,12.5,54.5,55.3,NA,54.9,6.8625,70.1808239849624,NA,175.80164160401
97,"15","5:1",27,17,8,NA,12.5,16.2,55.3,NA,35.75,6.8625,77.0433239849624,NA,188.30164160401
98,"15","5:1",28,43.5,8,NA,25.75,16.2,14.2,NA,15.2,9.205625,86.2489489849624,35.75,214.05164160401
99,"15","5:1",29,43.6,17,NA,30.3,11.8,14.3,NA,13.05,4.6056,90.8545489849624,15.2,244.35164160401
100,"15","5:1",30,12.5,17,NA,14.75,11.8,14.2,NA,13,1.924875,92.7794239849624,13.05,259.10164160401
101,"15","5:1",31,12.5,17,NA,14.75,11.8,7.8,NA,9.8,1.9175,94.6969239849624,13,273.85164160401
102,"15","5:1",32,12.5,8.33333333333333,NA,10.4166666666667,11.8,7.8,NA,9.8,1.02083333333333,95.7177573182958,9.8,284.268308270677
103,"15","5:1",33,12.5,8.33,NA,10.415,11.8,7.8,NA,9.8,1.02067,96.7384273182957,NA,294.683308270677
104,"15","5:1",34,12.5,8.33,NA,10.415,11.8,35.9,NA,23.85,1.02067,97.7590973182957,NA,305.098308270677
105,"15","5:1",35,12.6,37,NA,24.8,91.4,76.7,NA,84.05,5.9148,103.673897318296,23.85,329.898308270677
106,"15","4:1",1,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA
107,"15","4:1",2,365,34,NA,199.5,12.9,15.5,NA,14.2,0,0,0,199.5
108,"15","4:1",3,29.6666666666667,10.5,NA,20.0833333333333,12.9,15.5,NA,14.2,2.85183333333333,2.85183333333333,14.2,219.583333333333
109,"15","4:1",4,29.67,10.5,NA,20.085,12.9,52.5,NA,32.7,2.85207,5.70390333333333,NA,239.668333333333
110,"15","4:1",5,29.67,10.5,NA,20.085,13.1,52.5,NA,32.8,6.567795,12.2716983333333,32.7,259.753333333333
111,"15","4:1",6,10.875,10.5,NA,10.6875,13.1,51.4,NA,32.25,3.5055,15.7771983333333,32.8,270.440833333333
112,"15","4:1",7,10.875,2.33333333333333,NA,6.60416666666667,13.1,51.4,NA,32.25,2.12984375,17.9070420833333,32.25,277.045
113,"15","4:1",8,10.875,2.33,NA,6.6025,13.1,51.4,NA,32.25,2.12930625,20.0363483333333,NA,283.6475
114,"15","4:1",9,10.875,2.3,NA,6.5875,13.1,51.4,NA,32.25,2.12446875,22.1608170833333,NA,290.235
115,"15","4:1",10,10.875,2.33,NA,6.6025,13.1,51.4,NA,32.25,2.12930625,24.2901233333333,NA,296.8375
116,"15","4:1",11,10.875,2.33,NA,6.6025,13.1,51.4,NA,32.25,2.12930625,26.4194295833333,NA,303.44
117,"15","4:1",12,10.875,2.33,NA,6.6025,13.1,77.8,NA,45.45,2.12930625,28.5487358333333,NA,310.0425
118,"15","4:1",13,10.875,14,NA,12.4375,13.1,77.8,NA,45.45,5.65284375,34.2015795833333,45.45,322.48
119,"15","4:1",14,10.875,14,NA,12.4375,65.2,59.2,NA,62.2,5.65284375,39.8544233333333,NA,334.9175
120,"15","4:1",15,5.71428571428571,13,NA,9.35714285714286,65.2,59.2,NA,62.2,5.82014285714286,45.6745661904762,62.2,344.274642857143
121,"15","4:1",16,5.71428571428571,13,NA,9.35714285714286,65.2,59.2,NA,62.2,5.82014285714286,51.494709047619,NA,353.631785714286
122,"15","4:1",17,5.71428571428571,7,NA,6.35714285714286,65.2,59.2,NA,62.2,3.95414285714286,55.4488519047619,NA,359.988928571429
123,"15","4:1",18,5.71428571428571,7,NA,6.35714285714286,65.2,59.2,NA,62.2,3.95414285714286,59.4029947619048,NA,366.346071428571
124,"15","4:1",19,5.71428571428571,7,NA,6.35714285714286,65.2,59.2,NA,62.2,3.95414285714286,63.3571376190476,NA,372.703214285714
125,"15","4:1",20,5.71428571428571,7,NA,6.35714285714286,65.2,65.7,NA,65.45,3.95414285714286,67.3112804761905,NA,379.060357142857
126,"15","4:1",21,5.71428571428571,3,NA,4.35714285714286,65.2,65.7,NA,65.45,2.85175,70.1630304761905,65.45,383.4175
127,"15","4:1",22,5.71428571428571,3,NA,4.35714285714286,55.3,65.7,NA,60.5,2.85175,73.0147804761905,NA,387.774642857143
128,"15","4:1",23,15,3,NA,9,55.3,65.7,NA,60.5,5.445,78.4597804761905,60.5,396.774642857143
129,"15","4:1",24,15,3,NA,9,55.3,65.7,NA,60.5,5.445,83.9047804761905,NA,405.774642857143
130,"15","4:1",25,15,3,NA,9,27.5,65.7,NA,46.6,5.445,89.3497804761905,NA,414.774642857143
131,"15","4:1",26,27,3,NA,15,27.5,65.7,NA,46.6,6.99,96.3397804761905,46.6,429.774642857143
132,"15","4:1",27,27,3,NA,15,10,65.7,NA,37.85,6.99,103.32978047619,NA,444.774642857143
133,"15","4:1",28,5.5,3,NA,4.25,10,62.2,NA,36.1,1.608625,104.93840547619,37.85,449.024642857143
134,"15","4:1",29,5.5,5.66666666666667,NA,5.58333333333333,52.5,62.2,NA,57.35,2.01558333333333,106.953988809524,36.1,454.607976190476
135,"15","4:1",30,3.33333333333333,5.67,NA,4.50166666666667,52.5,62.2,NA,57.35,2.58170583333333,109.535694642857,57.35,459.109642857143
136,"15","4:1",31,3.33,5.67,NA,4.5,52.5,53,NA,52.75,2.58075,112.116444642857,NA,463.609642857143
137,"15","4:1",32,3.33,7,NA,5.165,52.5,53,NA,52.75,2.7245375,114.840982142857,52.75,468.774642857143
138,"15","4:1",33,3.33,7,NA,5.165,52.5,53,NA,52.75,2.7245375,117.565519642857,NA,473.939642857143
139,"15","4:1",34,3.33,7,NA,5.165,52.5,33.3,NA,42.9,2.7245375,120.290057142857,NA,479.104642857143
140,"15","4:1",35,20,15,NA,17.5,74.6,28.8,NA,51.7,7.5075,127.797557142857,42.9,496.604642857143
141,"15","3:1",1,NA,NA,NA,NA,0,2.2,NA,1.1,NA,NA,NA,NA
142,"15","3:1",2,190,41,NA,115.5,20.2,2.2,NA,11.2,0.317625,0.317625,1.1,28.875
143,"15","3:1",3,29,54.5,NA,41.75,20.2,15.9,NA,18.05,1.169,1.486625,11.2,39.3125
144,"15","3:1",4,29,54.5,NA,41.75,20.2,15.9,NA,18.05,1.88396875,3.37059375,18.05,49.75
145,"15","3:1",5,29,25.5,NA,27.25,8,32.4,NA,20.2,1.22965625,4.60025,18.05,56.5625
146,"15","3:1",6,6,25.5,NA,15.75,8,32.4,NA,20.2,0.795375,5.395625,20.2,60.5
147,"15","3:1",7,6,16.6666666666667,NA,11.3333333333333,8,86.1,NA,47.05,0.572333333333333,5.96795833333333,NA,63.3333333333333
148,"15","3:1",8,6,16.67,NA,11.335,8,86.1,NA,47.05,1.333279375,7.30123770833333,47.05,66.1670833333333
149,"15","3:1",9,6,16.67,NA,11.335,45.7,86.1,NA,65.9,1.333279375,8.63451708333333,NA,69.0008333333333
150,"15","3:1",10,10.8,16.67,NA,13.735,45.7,86.1,NA,65.9,2.26284125,10.8973583333333,65.9,72.4345833333333
151,"15","3:1",11,10.8,16.67,NA,13.735,45.7,86.1,NA,65.9,2.26284125,13.1601995833333,NA,75.8683333333333
152,"15","3:1",12,10.8,16.67,NA,13.735,45.7,86.1,NA,65.9,2.26284125,15.4230408333333,NA,79.3020833333333
153,"15","3:1",13,10.8,120,NA,65.4,45.7,15.2,NA,30.45,10.77465,26.1976908333333,NA,95.6520833333333
154,"15","3:1",14,10.8,120,NA,65.4,69,15.2,NA,42.1,4.978575,31.1762658333333,30.45,112.002083333333
155,"15","3:1",15,107.142857142857,25,NA,66.0714285714286,69,8.6,NA,38.8,6.95401785714286,38.1302836904762,42.1,128.51994047619
156,"15","3:1",16,107.142857142857,25,NA,66.0714285714286,69,8.6,NA,38.8,6.40892857142857,44.5392122619048,38.8,145.037797619048
157,"15","3:1",17,107.142857142857,105,NA,106.071428571429,69,50.2,NA,59.6,10.2889285714286,54.8281408333333,NA,171.555654761905
158,"15","3:1",18,107.142857142857,105,NA,106.071428571429,69,50.2,NA,59.6,15.8046428571429,70.6327836904762,59.6,198.073511904762
159,"15","3:1",19,107.142857142857,105,NA,106.071428571429,69,50.2,NA,59.6,15.8046428571429,86.437426547619,NA,224.591369047619
160,"15","3:1",20,107.142857142857,105,NA,106.071428571429,69,50.2,NA,59.6,15.8046428571429,102.242069404762,NA,251.109226190476
161,"15","3:1",21,107.142857142857,14,NA,60.5714285714286,69,35.2,NA,52.1,9.02514285714286,111.267212261905,NA,266.252083333333
162,"15","3:1",22,107.142857142857,14,NA,60.5714285714286,75.3,35.2,NA,55.25,7.88942857142857,119.156640833333,52.1,281.39494047619
163,"15","3:1",23,185.666666666667,14,NA,99.8333333333333,75.3,35.2,NA,55.25,13.7894791666667,132.94612,55.25,306.353273809524
164,"15","3:1",24,185.6,14,NA,99.8,75.3,35.2,NA,55.25,13.784875,146.730995,NA,331.303273809524
165,"15","3:1",25,185.6,14,NA,99.8,64.8,35.2,NA,50,13.784875,160.51587,NA,356.253273809524
166,"15","3:1",26,7,14,NA,10.5,64.8,35.2,NA,50,1.3125,161.82837,50,358.878273809524
167,"15","3:1",27,7,14,NA,10.5,3,35.2,NA,19.1,1.3125,163.14087,NA,361.503273809524
168,"15","3:1",28,56.5,14,NA,35.25,3,35.2,NA,19.1,1.6831875,164.8240575,52,370.315773809524
169,"15","3:1",29,56.5,28.3333333333333,NA,42.4166666666667,54.2,54.9,NA,54.55,2.02539583333333,166.849453333333,NA,380.91994047619
170,"15","3:1",30,2.33333333333333,28.33,NA,15.3316666666667,54.2,54.9,NA,54.55,2.09085604166667,168.940309375,54.55,384.752857142857
171,"15","3:1",31,2.33,28.33,NA,15.33,54.2,54.9,NA,54.55,2.09062875,171.030938125,NA,388.585357142857
172,"15","3:1",32,2.33,40,NA,21.165,54.2,39.4,NA,46.8,2.886376875,173.917315,NA,393.876607142857
173,"15","3:1",33,2.33,40,NA,21.165,54.2,39.4,NA,46.8,2.476305,176.39362,46.8,399.167857142857
174,"15","3:1",34,2.33,40,NA,21.165,54.2,39.4,NA,46.8,2.476305,178.869925,NA,404.459107142857
175,"15","3:1",35,2.33,136,NA,69.165,80.6,70.9,NA,75.75,8.092305,186.96223,31.8,421.750357142857
176,"15","2:1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,"15","2:1",2,180,94,51,108.333333333333,4.3,26.1,11.5,13.9666666666667,0,0,0,108.333333333333
178,"15","2:1",3,3.33,16,16,11.7766666666667,6.2,3.3,20,9.83333333333333,1.09653851851852,1.09653851851852,13.9666666666667,120.11
179,"15","2:1",4,3.33,16,16,11.7766666666667,6.2,3.3,20,9.83333333333333,0.772025925925926,1.86856444444444,9.83333333333333,131.886666666667
180,"15","2:1",5,3.33,16,16,11.7766666666667,6.2,3.3,20,9.83333333333333,0.772025925925926,2.64059037037037,NA,143.663333333333
181,"15","2:1",6,4,30.33,9.16666666666667,14.4988888888889,5.6,1.3,13,6.63333333333333,0.950482716049383,3.59107308641975,NA,158.162222222222
182,"15","2:1",7,4,30.33,9.16,14.4966666666667,5.6,1.3,13,6.63333333333333,0.641074814814815,4.23214790123457,6.63333333333333,172.658888888889
183,"15","2:1",8,4,30.33,9.16,14.4966666666667,5.6,1.3,13,6.63333333333333,0.641074814814815,4.87322271604938,NA,187.155555555556
184,"15","2:1",9,3.33,28.3333333333333,9.17,13.6111111111111,4.3,34,13,17.1,0.601913580246914,5.4751362962963,NA,200.766666666667
185,"15","2:1",10,3.33,28.33,9.16,13.6066666666667,4.3,34,13,17.1,1.55116,7.02629629629629,17.1,214.373333333333
186,"15","2:1",11,3.33,28.33,9.16,13.6066666666667,4.3,34,13,17.1,1.55116,8.57745629629629,NA,227.98
187,"15","2:1",12,1.66666666666667,31.3333333333333,14,15.6666666666667,4.1,13.3,32,16.4666666666667,1.786,10.3634562962963,NA,243.646666666667
188,"15","2:1",13,1.67,31.33,14,15.6666666666667,4.1,13.3,32,16.4666666666667,1.71985185185185,12.0833081481481,16.4666666666667,259.313333333333
189,"15","2:1",14,1.67,31.33,14,15.6666666666667,4.1,13.3,32,16.4666666666667,1.71985185185185,13.80316,NA,274.98
190,"15","2:1",15,14,17.1666666666667,36,22.3888888888889,7.1,5.4,66.8,26.4333333333333,2.4578024691358,16.2609624691358,NA,297.368888888889
191,"15","2:1",16,14,17.17,36,22.39,7.1,5.4,66.8,26.4333333333333,3.94561555555556,20.2065780246914,26.4333333333333,319.758888888889
192,"15","2:1",17,14,17.17,36,22.39,7.1,5.4,66.8,26.4333333333333,3.94561555555556,24.1521935802469,NA,342.148888888889
193,"15","2:1",18,14,17.17,40,23.7233333333333,7.1,7.8,59.4,24.7666666666667,4.18057851851852,28.3327720987654,NA,365.872222222222
194,"15","2:1",19,14,17.17,40,23.7233333333333,7.1,7.8,59.4,24.7666666666667,3.91698592592593,32.2497580246914,24.7666666666667,389.595555555556
195,"15","2:1",20,14,17.17,40,23.7233333333333,7.1,7.8,59.4,24.7666666666667,3.91698592592593,36.1667439506173,NA,413.318888888889
196,"15","2:1",21,2,59,41,34,56.5,32,52.2,46.9,5.61377777777778,41.7805217283951,NA,447.318888888889
197,"15","2:1",22,2,59,41,34,56.5,32,52.2,46.9,10.6306666666667,52.4111883950617,46.9,481.318888888889
198,"15","2:1",23,2,59,41,34,56.5,32,52.2,46.9,10.6306666666667,63.0418550617284,NA,515.318888888889
199,"15","2:1",24,2,36.6666666666667,55.6666666666667,31.4444444444444,56.5,7.3,79.1,47.6333333333333,9.83162962962963,72.873484691358,NA,546.763333333333
200,"15","2:1",25,2,36.67,55.67,31.4466666666667,56.5,7.3,79.1,47.6333333333333,9.9860637037037,82.8595483950617,47.6333333333333,578.21
