"dataset_particle_size_pkey","particle_size","reactor","sample_date","day","biogas_ml","methane_pct","daily_methane_ml","cumulative_methane_ml"
1,"1 inch",1,2023-11-15,3,41,23.1,9.471,9.471
2,"1 inch",1,2023-11-18,6,39,52.1,20.319,29.79
3,"1 inch",1,2023-11-21,9,51,64.3,32.793,62.583
4,"1 inch",1,2023-11-24,12,41,27.3,11.193,73.776
5,"1 inch",1,2023-11-27,15,53,14.2,7.526,81.302
6,"1 inch",1,2023-11-30,18,37,23.8,8.806,90.108
7,"1 inch",1,2023-12-03,21,31,39.9,12.369,102.477
8,"1 inch",1,2023-12-06,24,53,35.4,18.762,121.239
9,"1 inch",1,2023-12-09,27,33,43.5,14.355,135.594
10,"1 inch",1,2023-12-12,30,63,33.8,21.294,156.888
11,"1 inch",1,2023-12-15,33,101,75.9,76.659,233.547
12,"1 inch",1,2023-12-17,35,114,72.6,82.764,316.311
13,"1 inch",2,2023-11-15,3,168,9.8,16.464,16.464
14,"1 inch",2,2023-11-18,6,27,40.7,10.989,27.453
15,"1 inch",2,2023-11-21,9,151,44.9,67.799,95.252
16,"1 inch",2,2023-11-24,12,5,51.7,2.585,97.837
17,"1 inch",2,2023-11-27,15,91,45.4,41.314,139.151
18,"1 inch",2,2023-11-30,18,40,45.9,18.36,157.511
19,"1 inch",2,2023-12-03,21,41,41.8,17.138,174.649
20,"1 inch",2,2023-12-06,24,31,32.2,9.982,184.631
21,"1 inch",2,2023-12-09,27,25,28.3,7.075,191.706
22,"1 inch",2,2023-12-12,30,20,35.3,7.06,198.766
23,"1 inch",2,2023-12-15,33,43,28.8,12.384,211.15
24,"1 inch",2,2023-12-17,35,40,28.4,11.36,222.51
25,"1 inch",3,2023-11-15,3,232,12.8,29.696,29.696
26,"1 inch",3,2023-11-18,6,13,59,7.67,37.366
27,"1 inch",3,2023-11-21,9,97,49.3,47.821,85.187
28,"1 inch",3,2023-11-24,12,13,NA,0,85.187
29,"1 inch",3,2023-11-27,15,51,36.7,18.717,103.904
30,"1 inch",3,2023-11-30,18,30,16.5,4.95,108.854
31,"1 inch",3,2023-12-03,21,30,28.4,8.52,117.374
32,"1 inch",3,2023-12-06,24,33,34.6,11.418,128.792
33,"1 inch",3,2023-12-09,27,30,24,7.2,135.992
34,"1 inch",3,2023-12-12,30,30,29.1,8.73,144.722
35,"1 inch",3,2023-12-15,33,30,35.3,10.59,155.312
36,"1 inch",3,2023-12-17,35,32,NA,0,155.312
37,"2 mm",4,2023-11-15,3,167,14.1,23.547,23.547
38,"2 mm",4,2023-11-18,6,21,46.1,9.681,33.228
39,"2 mm",4,2023-11-21,9,101,53.6,54.136,87.364
40,"2 mm",4,2023-11-24,12,5,NA,0,87.364
41,"2 mm",4,2023-11-27,15,5,46.6,2.33,89.694
42,"2 mm",4,2023-11-30,18,33,24.8,8.184,97.878
43,"2 mm",4,2023-12-03,21,5,46.3,2.315,100.193
44,"2 mm",4,2023-12-06,24,5,42.2,2.11,102.303
45,"2 mm",4,2023-12-09,27,5,67.2,3.36,105.663
46,"2 mm",4,2023-12-12,30,3,33.8,1.014,106.677
47,"2 mm",4,2023-12-15,33,NA,NA,NA,106.677
48,"2 mm",4,2023-12-17,35,NA,NA,NA,106.677
49,"2 mm",5,2023-11-15,3,100,3.7,3.7,3.7
50,"2 mm",5,2023-11-18,6,164,5.3,8.692,12.392
51,"2 mm",5,2023-11-21,9,105,63.3,66.465,78.857
52,"2 mm",5,2023-11-24,12,92,22.5,20.7,99.557
53,"2 mm",5,2023-11-27,15,50,NA,0,99.557
54,"2 mm",5,2023-11-30,18,107,31.9,34.133,133.69
55,"2 mm",5,2023-12-03,21,53,40.4,21.412,155.102
56,"2 mm",5,2023-12-06,24,57,NA,0,155.102
57,"2 mm",5,2023-12-09,27,160,NA,0,155.102
58,"2 mm",5,2023-12-12,30,150,NA,0,155.102
59,"2 mm",5,2023-12-15,33,55,67.5,37.125,192.227
60,"2 mm",5,2023-12-17,35,61,62.1,37.881,230.108
61,"2 mm",6,2023-11-15,3,47,8.2,3.854,3.854
62,"2 mm",6,2023-11-18,6,27,36.2,9.774,13.628
63,"2 mm",6,2023-11-21,9,176,47.4,83.424,97.052
64,"2 mm",6,2023-11-24,12,125,34.7,43.375,140.427
65,"2 mm",6,2023-11-27,15,107,NA,0,140.427
66,"2 mm",6,2023-11-30,18,101,44.4,44.844,185.271
67,"2 mm",6,2023-12-03,21,40,54.6,21.84,207.111
68,"2 mm",6,2023-12-06,24,285,42.8,121.98,329.091
69,"2 mm",6,2023-12-09,27,40,71.6,28.64,357.731
70,"2 mm",6,2023-12-12,30,40,71,28.4,386.131
71,"2 mm",6,2023-12-15,33,43,61.8,26.574,412.705
72,"2 mm",6,2023-12-17,35,41,81.3,33.333,446.038
73,"1/4 inch",7,2023-11-15,3,54,11.1,5.994,5.994
74,"1/4 inch",7,2023-11-18,6,61,60.8,37.088,43.082
75,"1/4 inch",7,2023-11-21,9,61,57.8,35.258,78.34
76,"1/4 inch",7,2023-11-24,12,97,NA,0,78.34
77,"1/4 inch",7,2023-11-27,15,101,42.6,43.026,121.366
78,"1/4 inch",7,2023-11-30,18,97,NA,0,121.366
79,"1/4 inch",7,2023-12-03,21,110,NA,0,121.366
80,"1/4 inch",7,2023-12-06,24,105,31.8,33.39,154.756
81,"1/4 inch",7,2023-12-09,27,110,34.2,37.62,192.376
82,"1/4 inch",7,2023-12-12,30,52,NA,0,192.376
83,"1/4 inch",7,2023-12-15,33,60,NA,0,192.376
84,"1/4 inch",7,2023-12-17,35,47,NA,0,192.376
85,"1/4 inch",8,2023-11-15,3,60,2.9,1.74,1.74
86,"1/4 inch",8,2023-11-18,6,101,2.3,2.323,4.063
87,"1/4 inch",8,2023-11-21,9,91,2.7,2.457,6.52
88,"1/4 inch",8,2023-11-24,12,83,51,42.33,48.85
89,"1/4 inch",8,2023-11-27,15,97,65.5,63.535,112.385
90,"1/4 inch",8,2023-11-30,18,101,44.1,44.541,156.926
91,"1/4 inch",8,2023-12-03,21,55,51.7,28.435,185.361
92,"1/4 inch",8,2023-12-06,24,61,61.9,37.759,223.12
93,"1/4 inch",8,2023-12-09,27,52,59.9,31.148,254.268
94,"1/4 inch",8,2023-12-12,30,100,50.7,50.7,304.968
95,"1/4 inch",8,2023-12-15,33,120,50.9,61.08,366.048
96,"1/4 inch",8,2023-12-17,35,48,47,22.56,388.608
97,"1/4 inch",9,2023-11-15,3,27,4.2,1.134,1.134
98,"1/4 inch",9,2023-11-18,6,40,37.4,14.96,16.094
99,"1/4 inch",9,2023-11-21,9,61,36.7,22.387,38.481
100,"1/4 inch",9,2023-11-24,12,35,37.8,13.23,51.711
101,"1/4 inch",9,2023-11-27,15,36,37,13.32,65.031
102,"1/4 inch",9,2023-11-30,18,31,78.5,24.335,89.366
103,"1/4 inch",9,2023-12-03,21,30,44.6,13.38,102.746
104,"1/4 inch",9,2023-12-06,24,43,NA,0,102.746
105,"1/4 inch",9,2023-12-09,27,43,NA,0,102.746
106,"1/4 inch",9,2023-12-12,30,45,NA,0,102.746
107,"1/4 inch",9,2023-12-15,33,41,NA,0,102.746
108,"1/4 inch",9,2023-12-17,35,49,56.1,27.489,130.235
109,"1/4 inch",10,2023-11-15,3,11,7.3,0.803,0.803
110,"1/4 inch",10,2023-11-18,6,41,4.9,2.009,2.812
111,"1/4 inch",10,2023-11-21,9,27,31.7,8.559,11.371
112,"1/4 inch",10,2023-11-24,12,32,30.9,9.888,21.259
113,"1/4 inch",10,2023-11-27,15,41,NA,0,21.259
114,"1/4 inch",10,2023-11-30,18,20,49.9,9.98,31.239
115,"1/4 inch",10,2023-12-03,21,42,NA,0,31.239
116,"1/4 inch",10,2023-12-06,24,35,NA,0,31.239
117,"1/4 inch",10,2023-12-09,27,50,69.4,34.7,65.939
118,"1/4 inch",10,2023-12-12,30,54,56,30.24,96.179
119,"1/4 inch",10,2023-12-15,33,33,NA,0,96.179
120,"1/4 inch",10,2023-12-17,35,30,NA,0,96.179
121,"1/4 inch",11,2023-11-15,3,95,17.8,16.91,16.91
122,"1/4 inch",11,2023-11-18,6,13,35.6,4.628,21.538
123,"1/4 inch",11,2023-11-21,9,65,42.8,27.82,49.358
124,"1/4 inch",11,2023-11-24,12,3,35.8,1.074,50.432
125,"1/4 inch",11,2023-11-27,15,92,49,45.08,95.512
126,"1/4 inch",11,2023-11-30,18,5,32.2,1.61,97.122
127,"1/4 inch",11,2023-12-03,21,110,79.1,87.01,184.132
128,"1/4 inch",11,2023-12-06,24,165,48,79.2,263.332
129,"1/4 inch",11,2023-12-09,27,60,73,43.8,307.132
130,"1/4 inch",11,2023-12-12,30,96,76.9,73.824,380.956
131,"1/4 inch",11,2023-12-15,33,75,NA,0,380.956
132,"1/4 inch",11,2023-12-17,35,48,67.6,32.448,413.404
133,"1/4 inch",12,2023-11-15,3,NA,NA,0,0
134,"1/4 inch",12,2023-11-18,6,52,53.6,27.872,27.872
135,"1/4 inch",12,2023-11-21,9,61,62,37.82,65.692
136,"1/4 inch",12,2023-11-24,12,109,4.5,4.905,70.597
137,"1/4 inch",12,2023-11-27,15,101,34.9,35.249,105.846
138,"1/4 inch",12,2023-11-30,18,57,28.5,16.245,122.091
139,"1/4 inch",12,2023-12-03,21,104,NA,0,122.091
140,"1/4 inch",12,2023-12-06,24,60,43.7,26.22,148.311
141,"1/4 inch",12,2023-12-09,27,52,57.8,30.056,178.367
142,"1/4 inch",12,2023-12-12,30,53,69.7,36.941,215.308
143,"1/4 inch",12,2023-12-15,33,62,64.5,39.99,255.298
144,"1/4 inch",12,2023-12-17,35,49,61.6,30.184,285.482
145,"1/4 inch",13,2023-11-15,3,160,9.3,14.88,14.88
146,"1/4 inch",13,2023-11-18,6,47,31.3,14.711,29.591
147,"1/4 inch",13,2023-11-21,9,121,25.3,30.613,60.204
148,"1/4 inch",13,2023-11-24,12,95,39.7,37.715,97.919
149,"1/4 inch",13,2023-11-27,15,55,46,25.3,123.219
150,"1/4 inch",13,2023-11-30,18,95,32.4,30.78,153.999
151,"1/4 inch",13,2023-12-03,21,51,38.6,19.686,173.685
152,"1/4 inch",13,2023-12-06,24,53,52.8,27.984,201.669
153,"1/4 inch",13,2023-12-09,27,53,54.5,28.885,230.554
154,"1/4 inch",13,2023-12-12,30,101,48.1,48.581,279.135
155,"1/4 inch",13,2023-12-15,33,54,49.3,26.622,305.757
156,"1/4 inch",13,2023-12-17,35,117,63.8,74.646,380.403
157,"1/4 inch",14,2023-11-15,3,11,7.2,0.792,0.792
158,"1/4 inch",14,2023-11-18,6,21,6.4,1.344,2.136
159,"1/4 inch",14,2023-11-21,9,25,31.8,7.95,10.086
160,"1/4 inch",14,2023-11-24,12,20,28.2,5.64,15.726
161,"1/4 inch",14,2023-11-27,15,40,NA,0,15.726
162,"1/4 inch",14,2023-11-30,18,31,38.3,11.873,27.599
163,"1/4 inch",14,2023-12-03,21,31,37.2,11.532,39.131
164,"1/4 inch",14,2023-12-06,24,51,41.1,20.961,60.092
165,"1/4 inch",14,2023-12-09,27,61,37.7,22.997,83.089
166,"1/4 inch",14,2023-12-12,30,43,62.8,27.004,110.093
167,"1/4 inch",14,2023-12-15,33,37,28.5,10.545,120.638
168,"1/4 inch",14,2023-12-17,35,48,36.7,17.616,138.254
169,"1/4 inch",15,2023-11-15,3,48,32.8,15.744,15.744
170,"1/4 inch",15,2023-11-18,6,45,13.9,6.255,5.49975
171,"1/4 inch",15,2023-11-21,9,53,31.7,16.801,9.7
172,"1/4 inch",15,2023-11-24,12,34,38,12.92,12.93
173,"1/4 inch",15,2023-11-27,15,347,42.6,147.822,49.8855
174,"1/4 inch",15,2023-11-30,18,730,66.7,486.91,171.613
175,"1/4 inch",15,2023-12-03,21,440,42.9,188.76,218.803
176,"1/4 inch",15,2023-12-06,24,281,43.4,121.954,249.2915
177,"1/4 inch",15,2023-12-09,27,515,60.5,311.575,327.18525
178,"1/4 inch",15,2023-12-12,30,61,51.2,31.232,334.99325
179,"1/4 inch",15,2023-12-15,33,190,73.6,139.84,369.95325
180,"1/4 inch",15,2023-12-17,35,380,52.9,201.02,420.20825
